Month/Year,Victim of the Conflict,Municipality,Reason for consultation,Previous complaints,Scene of Violence,Type of Violence,Remission,Entity to which it refers
June-2018,No,Laying,PSYCHOLOGICAL-CONSULTANCY,Yes,Does not apply,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,Yes,Does not apply,Sexual,Psycho-Legal,Prosecutor's office
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,YES,Does not apply,Physical,Psycho-Legal,Family commissary
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,Yes,Does not apply,Sexual,Psycho-Legal,None
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,YES,Does not apply,Sexual,Psycho-Legal,None
June-2018,No,Soledad,LEGAL ADVICE,Yes,Does not apply,Does not apply,Psycho-Legal,Ombudsman's Office
June-2018,No,Barranquilla,PSYCHOJURICAL ADVICE,Yes,VIF,Psychological,Psycho-Legal,Family commissary
June-2018,No,Barranquilla,PSYCHOLOGICAL,No,Does not apply,Does not apply,Psychological Orientation,None
June-2018,No,Soledad,Psychological,No,VIF,Psychological - Physical - Heritage,Legal advice,None
June-2018,Yes,Barranquilla,LEGAL,No,VIF,Patrimonial,Legal advice,None
June-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
June-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,Police Inspection
June-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Psychological - Physical,Legal advice,Prosecutor's office
June-2018,Yes,Malambo,Psychological Counseling,No,Does not apply,Does not apply,None,None
June-2018,No,Malambo,Psychological counseling,No,Does not apply,Does not apply,None,None
June-2018,No,Barranquilla,Psychological counseling,No,Does not apply,Does not apply,None,None
June-2018,No,Barranquilla,Query,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
June-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Patrimonial,None,None
June-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,Family commissary
June-2018,No,Malambo,Aesoria y Psicologica,No,Does not apply,Does not apply,None,Ombudsman's Office
June-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
June-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
June-2018,No,Soledad,psychological,Yes,VIF,Psychological,Psychological Orientation,None
June-2018,No,Malambo,PSYCHOLOGY,No,Does not apply,Does not apply,Psychological Orientation,None
June-2018,No,Barranquilla,psychological,No,Does not apply,Does not apply,Psychological Orientation,None
June-2018,No,Barranquilla,Psychological,No,VIF,Psychological - Physical,None,None
June-2018,no,Soledad,psychojurica,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,None
June-2018,No,Colombian Port,Psychological,No,VIF,All of the above,None,None
June-2018,No,Barranquilla,psycho-legal,Yes,VIF,Psychological - Physical - Heritage,none,None
June-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
July-2018,No,Galapa,Legal advice,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
July-2018,No,Barranquilla,PSYCHOLOGICAL,Yes,VIF,Psychological,None,None
July-2018,No,Juan de Acosta,LEGAL,Yes,VIF,Psychological,Legal advice,Ombudsman's Office
July-2018,Yes,Barranquilla,LEGAL,No,VIF,Psychological - Physical,Legal advice,Family commissary
July-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Physical,Psychological Orientation,None
July-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,Yes,VIF,Physical - Sexual,Psychological Orientation,None
July-2018,No,Colombian Port,Psycho-legal advice,Yes,VIF,Psychological - Physical - Heritage,None,Family commissary
July-2018,No,Baranoa,Psycho-legal advice,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,None
July-2018,No,Barranquilla,PSYCHOLOGICAL,No,Does not apply,Does not apply,None,None
July-2018,No,Barranquilla,legal and psychological,No,Does not apply,Does not apply,Legal advice,Family commissary
July-2018,No,Soledad,legal,No,Does not apply,Does not apply,None,None
July-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Sexual,Legal advice,Attorney
July-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Family commissary
July-2018,No,Barranquilla,psycho-legal counseling,No,VIF,Psychological - Physical,Psycho-Legal,None
July-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical - Heritage,Legal advice,Prosecutor's office
July-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Physical,Legal advice,None
JULY-2018,NO,Barranquilla,legal soria,No,Does not apply,Does not apply,None,Ombudsman's Office
July-2018,No,Soledad,legal advice,Yes,Others,Psychological,None,None
July-2018,No,Barranquilla,ASESPSICO7JURIDICA,Yes,VIF,Psychological - Physical,Legal advice,None
July-2018,No,Barranquilla,legal advice,No,Does not apply,Psychological,Legal advice,Police Inspection
July-2018,No,Barranquilla,legal advice,No,Does not apply,Psychological - Patrimonial,Legal advice,Family commissary
July-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Physical,Legal advice,Prosecutor's office
August-2018,No,Barranquilla,Psycho-legal advice,Yes,Others,Psychological - Physical,Legal advice,None
August-2018,No,St Thomas,Psychological counseling,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
August-2018,No,Soledad,legal-psychological advice,No,Does not apply,Psychological - Physical,Legal advice,None
August-2018,No,Galapa,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,None
August-2018,No,Barranquilla,legal advice,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
August-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological - Physical - Sexual,Legal advice,Family commissary
August-2018,No,Barranquilla,legal advice,Yes,Does not apply,Physical,Legal advice,Ombudsman's Office
August-2018,No,Barranquilla,legal advice,Yes,Does not apply,Physical,Legal advice,Family commissary
August-2018,No,Barranquilla,legal advice,Yes,Does not apply,Psychological - Physical,Legal advice,Family commissary
August-2018,No,Barranquilla,Legal advice,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
August-2018,No,Malambo,psychological counseling,No,Does not apply,Psychological,Psychological Orientation,None
August-2018,No,Barranquilla,legal advice,Yes,VIF,Psychological,Psycho-Legal,Police Inspection
August-2018,No,Soledad,legal advice,Yes,Does not apply,Psychological - Physical,Psycho-Legal,None
August-2018,No,Barranquilla,Psychology counseling,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
August-2018,No,Barranquilla,psycho-legal advice,Yes,Does not apply,Psychological - Physical,Psycho-Legal,Police Inspection
August-2018,No,Soledad,Psychological counseling,No,VIF,Psychological - Physical,None,None
August-2018,No,Soledad,Legal advice,Yes,VIF,Psychological - Physical,Psychological Orientation,Prosecutor's office
August-2018,No,Barranquilla,legal advice,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
August-2018,No,Sabanalarga,LEGAL ADVICE,Yes,VIF,Physical,Psycho-Legal,Ombudsman's Office
August-2018,No,Barranquilla,Psycho / legal,No,Others,Sexual,Psychological Orientation,None
September-2018,No,Soledad,Psycho-legal counseling,Yes,Others,Psychological - Sexual,None,None
September-2018,No,Colombian Port,PSYCHOLOGICAL,No,Others,Does not apply,Psychological Orientation,None
September-2018,No,Barranquilla,Legal Advice,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
September-2018,No,Barranquilla,Legal advice,No,VIF,Psychological - Physical,Legal advice,Family commissary
September-2018,Yes,Malambo,Legal advice,No,VIF,Psychological - Physical,Legal advice,None
September-2018,No,Barranquilla,Legal advice,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
September-2018,No,Soledad,legal advice,No,Does not apply,Psychological - Patrimonial,Legal advice,Ombudsman's Office
September-2018,No,Soledad,PSYCHO / LEGAL,Yes,VIF,All of the above,None,Family commissary
September-2018,No,Baranoa,PSYCHO / LEGAL,NO,Does not apply,Does not apply,None,None
September-2018,No,Barranquilla,PSYCHO / LEGAL,Yes,VIF,Sexual,Psycho-Legal,None
September-2018,No,Soledad,Psycho / Legal,No,Others,Does not apply,Legal advice,Prosecutor's office
September-2018,No,Barranquilla,Query,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
September-2018,No,Barranquilla,Psycho / legal,Yes,VIF,Psychological,None,None
September-2018,No,Barranquilla,Psycho / legal,No,Does not apply,Does not apply,None,None
September-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Family commissary
September-2018,No,Barranquilla,Grief over the loss of a child,No,Does not apply,Does not apply,None,None
September-2018,No,Barranquilla,FOOD ABSENCE,No,Does not apply,Does not apply,Legal advice,Family commissary
September-2018,Yes,Barranquilla,legal advice,No,VIF,Physical,Legal advice,Family commissary
September-2018,No,Barranquilla,LEGAL PARTNER,NO,Others,Psychological - Physical,Social work,Prosecutor's office
September-2018,No,Malambo,legal partner,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
September-2018,No,Soledad,legal advice,No,VIF,Psychological,Psycho-Legal,Family commissary
September-2018,No,Barranquilla,Psycho / legal,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
September-2018,No,Colombian Port,SOCIAL WORK,No,Does not apply,Does not apply,None,None
September-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Patrimonial,None,None
September-2018,No,Barranquilla,legal advice,No,Does not apply,Psychological,Legal advice,Ombudsman's Office
September-2018,No,Soledad,legal,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Prosecutor's office
September-2018,No,Malambo,Psycho / legal,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
September-2018,Yes,Barranquilla,Psychological Orientation,Yes,VIF,All of the above,None,None
September-2018,No,Juan de Acosta,PSYCHOLOGY,No,Does not apply,Does not apply,None,None
September-2018,No,Juan de Acosta,PSYCHOLOGY,Yes,VIF,Psychological - Physical,Psychological Orientation,None
October-2018,No,Soledad,legal and psychological,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
October-2018,No,Barranquilla,legal and psychological,Yes,VIF,Psychological - Physical,None,None
October-2018,No,Baranoa,LEGAL ADVICE,Yes,VIF,Psychological,Legal advice,None
October-2018,No,Soledad,PSYCHOLOGICAL,No,VIF,Psychological - Sexual - Patrimonial,Psychological Orientation,None
October-2018,Yes,Barranquilla,HOUSEWIFE,Yes,Others,Does not apply,Psychological Orientation,None
October-2018,No,Malambo,LEGAL ADVICE,Yes,VIF,Patrimonial,Psychological Orientation,None
October-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Patrimonial,None,None
October-2018,No,Malambo,Psycho / legal,Yes,Others,Sexual,Psycho-Legal,Prosecutor's office
October-2018,No,Barranquilla,PSYCHOLOGICAL,Yes,Others,Sexual,Psychological Orientation,None
October-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
October-2018,No,Soledad,AS / PSYCHO / LEGAL,No,Others,Psychological,Legal advice,Family commissary
October-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Does not apply,Legal advice,Family commissary
October-2018,No,Barranquilla,legal and psychological,Yes,Others,Psychological,Psycho-Legal,Prosecutor's office
October-2018,Yes,Soledad,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
October-2018,No,Barranquilla,ATTENTION,No,Does not apply,Does not apply,Social work,None
October-2018,YES,Soledad,legal advice,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
October-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Family commissary
October-2018,No,Juan de Acosta,PSYCHOLOGY,No,Does not apply,Sexual,Psychological Orientation,None
October-2018,No,Barranquilla,LEGAL AND PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psycho-Legal,None
October-2018,Yes,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,None,Family commissary
October-2018,No,Barranquilla,LEGAL ADVICE,No,Others,Psychological - Sexual,Legal advice,Prosecutor's office
October-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Sexual,Psychological Orientation,None
October-2018,No,Barranquilla,LEGAL AND PSYCHOLOGICAL ADVICE,No,Does not apply,Psychological,Legal advice,None
October-2018,Yes,Barranquilla,LEGAL AND PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Patrimonial,Legal advice,None
October-2018,Yes,Malambo,LEGAL AND PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
October-2018,Yes,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
October-2018,No,Polonuevo,LEGAL ADVICE,No,Others,Psychological - Physical,Legal advice,Prosecutor's office
October-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,Family commissary
October-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,None
October-2018,Yes,Galapa,LEGAL ADVICE,Yes,VIF,Psychological - Sexual - Patrimonial,Psycho-Legal,Prosecutor's office
October-2018,No,St Thomas,LEGAL AND PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psycho-Legal,None
October-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological - Physical - Heritage,Legal advice,Police Inspection
November-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
November-2018,No,Barranquilla,PSYCHOJURICAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
November-2018,Yes,GALAPA,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Prosecutor's office
November-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
November-2018,No,Soledad,PSYCHO / legal,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
November-2018,No,Barranquilla,legal,No,Does not apply,Does not apply,None,Family commissary
November-2018,No,Polonuevo,PSYCHO / LEGAL,Yes,VIF,Psychological,Legal advice,Family commissary
November-2018,Yes,Soledad,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Family commissary
November-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Psychological - Physical - Heritage,Legal advice,None
November-2018,No,Barranquilla,LEGAL ADVICE,No,Others,Psychological,Legal advice,Police Inspection
November-2018,No,Barranquilla,LEGAL,No,VIF,Psychological - Physical,Legal advice,Prosecutor's office
November-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Family commissary
November-2018,No,Barranquilla,Psychological,Yes,VIF,Psychological - Physical - Sexual,Psychological Orientation,None
November-2018,No,Barranquilla,PSYCHOLOGICAL,No,Does not apply,Psychological,Psychological Orientation,None
November-2018,No,Barranquilla,PSYCHOLOGICAL,No,VIF,Psychological - Physical - Heritage,Psycho-Social,Family commissary
November-2018,No,Galapa,Psychological,No,Does not apply,Does not apply,None,None
November-2018,Yes,Barranquilla,legal,No,Others,Does not apply,Psycho-Legal,ICBF
November-2018,No,Malambo,Legal,No,VIF,Patrimonial,Legal advice,Family commissary
November-2018,Yes,Barranquilla,LEGAL,Yes,Others,Does not apply,Legal advice,None
November-2018,No,Barranquilla,psycho-legal,Yes,VIF,Psychological - Physical,None,None
November-2018,No,Barranquilla,legal,No,VIF,Psychological - Physical,Legal advice,Family commissary
November-2018,No,Laying,LEGAL ADVICE,No,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
November-2018,No,Barranquilla,psychological,Yes,VIF,Psychological - Physical,Psychological Orientation,Prosecutor's office
November-2018,No,Barranquilla,psychological,No,Does not apply,Does not apply,None,None
November-2018,No,Barranquilla,LEGAL,No,Others,Physical,Legal advice,Prosecutor's office
November-2018,No,Barranquilla,legal,Yes,VIF,Psychological - Physical,Legal advice,Prosecutor's office
December-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Psychological,Legal advice,Ombudsman's Office
December-2018,No,Soledad,LEGAL ASERIA,Yes,Others,Does not apply,Legal advice,None
December-2018,No,Soledad,PSYCHOJURIDICAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
December-2018,No,Barranquilla,Query,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
December-2018,NO,Sabanalarga,LEGAL ADVICE,Yes,Others,Psychological - Physical,Legal advice,Police Inspection
December-2018,NO,Soledad,legal and psychological,Yes,Others,Psychological - Physical,Psycho-Legal,Police Inspection
December-2018,No,Malambo,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,None
December-2018,No,Barranquilla,SOCIAL,No,VIF,Psychological - Physical - Heritage,Social work,Family commissary
December-2018,No,Soledad,Legal,No,Does not apply,Psychological - Physical,Psycho-Legal,Police Inspection
December-2018,No,Barranquilla,Legal,Yes,VIF,Does not apply,None,None
December-2018,No,Barranquilla,PSYCHOLOGY,Yes,VIF,Psychological,Psychological Orientation,None
December-2018,No,Soledad,psycho-legal,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
December-2018,No,Soledad,LEGAL,Yes,VIF,Psychological - Physical,Legal advice,None
December-2018,No,Barranquilla,LEGAL ADVICE,No,Others,Psychological,Legal advice,Police Inspection
December-2018,No,Galapa,LEGAL ADVICE,Yes,Others,Psychological - Physical,Legal advice,Police Inspection
December-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Police Inspection
December-2018,No,Repelón,LEGAL ADVICE,YES,Others,Psychological - Physical - Heritage,Legal advice,Prosecutor's office
December-2018,No,Barranquilla,legal / psychological,Yes,VIF,Psychological - Physical,Legal advice,None
December-2018,No,sea ​​cow,LEGAL,Yes,VIF,Psychological - Patrimonial,Legal advice,Ombudsman's Office
December-2018,No,Barranquilla,LEGAL ADVICE,Yes,Others,Psychological,Legal advice,Prosecutor's office
December-2018,No,Soledad,LEGAL ADVICE,Yes,Others,Psychological,Psycho-Legal,None
December-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
December-2018,No,Barranquilla,Psychological counseling,No,Others,Sexual,None,None
December-2018,No,Barranquilla,Psycho-legal counseling,Yes,VIF,All of the above,Psycho-Legal,Prosecutor's office
December-2018,No,Barranquilla,Query,No,Does not apply,Does not apply,Psychological Orientation,None
December-2018,Yes,Juan de Acosta,Psychological,No,Others,Does not apply,Psychological Orientation,None
December-2018,No,Juan de Acosta,Psychological,Yes,VIF,Psychological - Physical - Sexual,Psychological Orientation,Family commissary
December-2018,No,Barranquilla,Psychological,Yes,VIF,Psychological,Psychological Orientation,Family commissary
January-2019,No,Barranquilla,PSYCHO / LEGAL,No,Others,Psychological - Physical,Psycho-Legal,Prosecutor's office
January-2019,No,Barranquilla,PSYCHO / LEGAL,Yes,Others,Psychological,Psychological Orientation,Family commissary
January-2019,No,Barranquilla,LEGAL,No,Does not apply,Does not apply,Legal advice,Family commissary
January-2019,No,Repelón,SHELTER HOUSE INCOME,No,VIF,All of the above,None,None
January-2019,No,Barranquilla,VIF,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
January-2019,No,Barranquilla,SEPARATION,No,Others,Does not apply,Legal advice,Ombudsman's Office
January-2019,No,Barranquilla,VIF,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Prosecutor's office
January-2019,No,Barranquilla,VIF,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,Prosecutor's office
January-2019,No,Soledad,CUSTODY,Yes,Others,Does not apply,Psycho-Legal,Attorney
January-2019,No,Soledad,RESTRICTION,Yes,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
January-2019,No,Barranquilla,DEPRESSION,No,Does not apply,Does not apply,Psychological Orientation,None
January-2019,No,Barranquilla,sexual abuse,No,Others,Sexual,Legal advice,None
January-2018,No,Candelaria,vif - food,Yes,VIF,Psychological - Physical,Legal advice,None
January-2019,No,Soledad,VIF / DAUGHTER,No,VIF,Psychological,Psychological Orientation,None
January-2019,No,Barranquilla,legal,Yes,Others,Psychological - Physical,Legal advice,Ombudsman's Office
January-2019,No,Barranquilla,VIF AND FOOD,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
January-2019,No,Barranquilla,VIF,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
February-2019,No,Barranquilla,EXISTENTIAL CRISIS,No,Others,Psychological,Psychological Orientation,None
February-2019,No,Barranquilla,VIF,No,VIF,Psychological - Physical - Sexual,Psycho-Legal,Ombudsman's Office
February-2019,No,Barranquilla,Sexual abuse,Yes,Others,Sexual,None,None
February-2019,No,Malambo,Query,No,Does not apply,Does not apply,None,None
February-2019,No,Barranquilla,HIS NIECE LIVING VIF,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
February-2019,No,Barranquilla,VICTIM FRIEND OF VIF,No,VIF,Psychological - Sexual - Patrimonial,Legal advice,Prosecutor's office
February-2019,No,Soledad,VIF,Yes,VIF,All of the above,Psychological Orientation,None
February-2019,No,Barranquilla,YOUNG DAUGHTER VIF,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
February-2019,No,Colombian Port,VICTIM OF ABUSE,No,Others,Does not apply,Legal advice,Prosecutor's office
February-2019,No,Soledad,vif,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
February-2019,Yes,Barranquilla,Query,Yes,Others,Does not apply,Social work,Family commissary
February-2019,No,Soledad,VIF,Yes,VIF,Psychological - Physical,None,Attorney
February-2019,No,Malambo,Query,Yes,Does not apply,Does not apply,Legal advice,Prosecutor's office
February-2019,No,Barranquilla,Sexual abuse,No,Does not apply,Does not apply,None,None
February-2019,No,Soledad,Query,No,Others,Patrimonial,Psycho-Legal,Police Inspection
February-2019,No,Barranquilla,Query,No,Does not apply,Does not apply,None,None
February-2019,No,Barranquilla,SETTLEMENT ABOUT HOUSE,Yes,Others,Does not apply,Legal advice,None
February-2019,No,Soledad,VICTIM OF ASSAULT,No,Others,Psychological - Physical,Legal advice,Prosecutor's office
February-2019,No,Barranquilla,CASE ORIENTATION,Yes,VIF,Psychological,Legal advice,Family commissary
February-2019,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Prosecutor's office
February-2019,No,Malambo,PROPERTY ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
February-2019,No,Galapa,EVICTION ADVICE,No,Does not apply,Psychological,Legal advice,Police Inspection
February-2019,No,Barranquilla,PSYCHOLOGY COUNSELING,No,Does not apply,Does not apply,Psychological Orientation,None
February-2019,No,Barranquilla,FOOD,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
February-2019,No,Barranquilla,Query,No,VIF,Sexual,Psychological Orientation,None
March-2019,No,Galapa,Query,Yes,VIF,Psychological - Physical,None,None
March-2019,No,Sabanalarga,Query,Yes,VIF,Psychological,Psychological Orientation,Ombudsman's Office
March-2019,No,Baranoa,Query,Yes,Others,Does not apply,Psychological Orientation,None
March-2019,No,Soledad,Query,No,VIF,Psychological - Physical,None,Prosecutor's office
March-2019,No,Malambo,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Family commissary
March-2019,No,Malambo,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
March-2019,No,Malambo,LEGAL ASEOSRIA,No,Others,Does not apply,Legal advice,Family commissary
March-2019,No,Baranoa,ASES.PSICO / LEGAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
March-2018,No,St. Lucia,PSYCHOJURICAL,Yes,Others,Patrimonial,Psycho-Legal,None
March-2019,No,Barranquilla,PSICILEGAL,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Prosecutor's office
March-2019,Yes,Barranquilla,PSYCHOJURICAL,Yes,Does not apply,Psychological - Physical,Psycho-Legal,None
March-2019,No,Soledad,PSYCHOJURICAL,Yes,VIF,Patrimonial,Psycho-Legal,Ombudsman's Office
March-2019,No,Soledad,legal floor,No,VIF,Psychological - Physical,Psycho-Legal,None
March-2019,No,Soledad,PSYCHOJURICAL,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
March-2019,No,Tubará,legal,Yes,Does not apply,Does not apply,Legal advice,None
March-2019,No,Juan de Acosta,PSYCHOLOGICAL,No,VIF,Psychological,Psychological Orientation,None
March-2019,No,Barranquilla,PSYCHO / LEGAL,Yes,VIF,Psychological,Legal advice,Family commissary
March-2019,Yes,Soledad,LEGAL,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
March-2019,No,Soledad,legal,Yes,Others,Psychological - Patrimonial,Legal advice,Ombudsman's Office
March-2019,No,Barranquilla,LEGAL,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
March-2019,No,Barranquilla,LEGAL,No,Others,Psychological,Legal advice,Police Inspection
March-2019,No,Barranquilla,psychological,No,Does not apply,Does not apply,Psychological Orientation,None
April-2019,No,Soledad,pSICO / LEGAL,Yes,VIF,Psychological,Psycho-Legal,Family commissary
April-2019,No,Galapa,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
April-2019,No,Luruaco,ENTRY,Yes,VIF,Psychological - Physical,Psycho-Legal,None
April-2019,No,Barranquilla,PSYCHOJURIDICAL,No,VIF,Psychological - Physical,Psycho-Legal,None
April-2019,No,Colombian Port,Psycho-legal,Yes,VIF,Psychological - Patrimonial,Psychological Orientation,None
April-2019,NO,Colombian Port,LEGAL,NO,Does not apply,Psychological - Physical,Legal advice,Prosecutor's office
April-2019,No,Barranquilla,PSYCHOJURICAL,Yes,VIF,Psychological - Physical,Psycho-Legal,None
April-2019,No,Barranquilla,PSYCHOJURICAL,No,VIF,Psychological - Physical - Sexual,Psycho-Legal,Family commissary
April-2019,No,Barranquilla,psycho-legal,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
April-2019,Yes,Soledad,psycho-legal,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Family commissary
April-2019,No,Soledad,PSYCHOJURICAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
April-2019,Yes,Barranquilla,Referral for defense,Yes,Others,Sexual,Psychological Orientation,None
April-2019,No,Barranquilla,legal,Yes,VIF,Psychological - Patrimonial,Legal advice,Ombudsman's Office
April-2019,No,Palmar de Varela,LEGAL,Yes,VIF,Psychological - Physical,None,Family commissary
April-2019,No,Barranquilla,LEGAL,Yes,Others,Psychological - Patrimonial,None,None
April-2019,No,Palmar de Varela,LEGAL,Yes,Others,Psychological - Sexual,Legal advice,Prosecutor's office
April-2019,No,Soledad,LEGAL,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
April-2019,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Psycho-Legal,Ombudsman's Office
April-2019,No,Barranquilla,ASE.PSYCHOLOGICAL,No,VIF,Psychological - Patrimonial,Psycho-Social,None
April-2019,No,Malambo,LEGAL ADVICE,No,Others,Psychological - Physical - Sexual,Legal advice,Ombudsman's Office
April-2019,No,Soledad,PSYCHOJURIDICAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
April-2019,No,Repelón,LEGAL,Yes,Others,Physical,Psycho-Legal,Prosecutor's office
April-2019,No,Galapa,LEGAL,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Ombudsman's Office
April-2019,No,Soledad,entrance house shelter,Yes,VIF,Psychological - Physical - Heritage,None,None
April-2019,No,St. Lucia,legal,No,VIF,Psychological - Physical,None,None
April-2019,No,Barranquilla,SHELTER HOUSE INCOME,Yes,VIF,Psychological - Physical,None,None
May-2019,No,Barranquilla,LEGAL,Yes,Others,Psychological - Physical - Heritage,None,None
